date,datetime,total_donors,total_amount,start
2015-10-13,"Tue, 13 Oct 2015 04:00:24 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:01:25 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:02:26 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:03:26 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:04:27 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:05:28 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:06:29 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:07:29 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:08:30 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:09:31 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:10:32 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:11:32 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:12:33 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:13:34 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:14:35 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:15:35 GMT",12498,530131.75,2015-09-22 00:00:00
2015-10-13,"Tue, 13 Oct 2015 04:16:36 GMT",12498,530131.75,2015-09-22 00:00:00
