date,datetime,total_donors,total_amount,start
2015-12-28,"Mon, 28 Dec 2015 20:37:00 GMT",773,114097.02,2015-12-26 00:00:00
2015-12-28,"Mon, 28 Dec 2015 20:38:01 GMT",775,114127.02,2015-12-26 00:00:00
2015-12-28,"Mon, 28 Dec 2015 20:39:03 GMT",777,114172.18,2015-12-26 00:00:00
2015-12-28,"Mon, 28 Dec 2015 20:40:04 GMT",777,114172.18,2015-12-26 00:00:00
2015-12-28,"Mon, 28 Dec 2015 20:41:05 GMT",777,114172.18,2015-12-26 00:00:00
2015-12-28,"Mon, 28 Dec 2015 20:42:06 GMT",777,114172.18,2015-12-26 00:00:00
2015-12-28,"Mon, 28 Dec 2015 20:43:07 GMT",777,114172.18,2015-12-26 00:00:00
2015-12-28,"Mon, 28 Dec 2015 20:44:07 GMT",778,114373.78,2015-12-26 00:00:00
