date,datetime,total_donors,total_amount,start
2015-09-29,"Tue, 29 Sep 2015 04:00:04 GMT",6076,241888.92,2015-09-22 00:00:00
2015-09-29,"Tue, 29 Sep 2015 04:01:06 GMT",6083,242240.17,2015-09-22 00:00:00
2015-09-29,"Tue, 29 Sep 2015 04:02:07 GMT",6083,242240.17,2015-09-22 00:00:00
2015-09-29,"Tue, 29 Sep 2015 04:03:08 GMT",6083,242240.17,2015-09-22 00:00:00
2015-09-29,"Tue, 29 Sep 2015 04:04:08 GMT",6086,242335.33,2015-09-22 00:00:00
2015-09-29,"Tue, 29 Sep 2015 04:05:09 GMT",6086,242335.33,2015-09-22 00:00:00
2015-09-29,"Tue, 29 Sep 2015 04:06:09 GMT",6087,242355.33,2015-09-22 00:00:00
2015-09-29,"Tue, 29 Sep 2015 04:07:10 GMT",6090,242455.33,2015-09-22 00:00:00
2015-09-29,"Tue, 29 Sep 2015 04:08:11 GMT",6090,242455.33,2015-09-22 00:00:00
2015-09-29,"Tue, 29 Sep 2015 04:09:11 GMT",6092,242485.49,2015-09-22 00:00:00
2015-09-29,"Tue, 29 Sep 2015 04:10:12 GMT",6092,242485.49,2015-09-22 00:00:00
2015-09-29,"Tue, 29 Sep 2015 04:11:12 GMT",6092,242485.49,2015-09-22 00:00:00
