date,datetime,total_donors,total_amount,start
2015-12-17,"Thu, 17 Dec 2015 21:54:19 GMT",,,
2015-12-17,"Fri, 18 Dec 2015 02:26:22 GMT",,,
2015-12-17,"Fri, 18 Dec 2015 02:28:02 GMT",2629,140031.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:29:03 GMT",2629,140031.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:30:04 GMT",2629,140031.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:31:07 GMT",2629,140031.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:32:07 GMT",2629,140031.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:33:08 GMT",2629,140031.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:34:09 GMT",2629,140031.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:35:09 GMT",2629,140031.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:36:10 GMT",2629,140031.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:37:10 GMT",2629,140031.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:38:11 GMT",2629,140031.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:39:12 GMT",2631,140061.51,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:40:12 GMT",2632,140081.66999999998,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:41:13 GMT",2633,140181.66999999998,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:42:14 GMT",2634,140191.66999999998,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:43:14 GMT",2635,140211.83000000002,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:44:15 GMT",2637,140261.83000000002,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:45:15 GMT",2637,140261.83000000002,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:46:16 GMT",2637,140261.83000000002,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:47:17 GMT",2637,140261.83000000002,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:48:17 GMT",2637,140261.83000000002,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:49:18 GMT",2637,140261.83000000002,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:50:19 GMT",2639,140306.99,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:51:19 GMT",2639,140306.99,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:52:20 GMT",2640,140331.99,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:53:20 GMT",2640,140331.99,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:54:21 GMT",2640,140331.99,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:55:22 GMT",2640,140331.99,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:56:22 GMT",2640,140331.99,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:57:23 GMT",2642,140381.99,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:58:24 GMT",2642,140381.99,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 02:59:24 GMT",2642,140381.99,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:00:25 GMT",2644,140431.99,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:01:26 GMT",2645,140452.15,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:02:26 GMT",2646,140472.31,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:03:27 GMT",2651,140621.56,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:04:27 GMT",2654,140946.56,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:05:28 GMT",2655,140966.72,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:06:29 GMT",2657,141011.88,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:07:30 GMT",2661,141191.88,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:08:30 GMT",2661,141191.88,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:09:31 GMT",2663,141226.88,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:10:31 GMT",2666,141264.03999999998,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:11:32 GMT",2667,141314.03999999998,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:12:33 GMT",2668,141564.03999999998,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:13:33 GMT",2668,141564.03999999998,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:14:34 GMT",2670,141614.03999999998,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:15:35 GMT",2670,141614.03999999998,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:16:35 GMT",2671,141664.03999999998,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:17:36 GMT",2671,141664.03999999998,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:18:37 GMT",2673,141689.2,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:19:37 GMT",2673,141689.2,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:20:38 GMT",2675,141764.2,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:21:39 GMT",2675,141764.2,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:22:40 GMT",2678,141804.36,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:23:40 GMT",2681,141879.52000000002,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:24:41 GMT",2683,141954.52000000002,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:25:41 GMT",2684,141979.52000000002,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:26:42 GMT",2688,142204.52000000002,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:27:43 GMT",2689,142224.68,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:28:43 GMT",2689,142224.68,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:29:44 GMT",2690,142234.68,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:30:45 GMT",2693,142289.68,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:31:45 GMT",2694,142314.68,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:32:46 GMT",2694,142314.68,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:33:46 GMT",2696,142332.45,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:34:47 GMT",2697,142357.45,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:35:48 GMT",2698,142377.61,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:36:48 GMT",2698,142377.61,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:37:49 GMT",2700,142417.93,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:38:50 GMT",2703,142570.7,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:39:50 GMT",2703,142570.7,2015-12-15 00:00:00
2015-12-17,"Fri, 18 Dec 2015 03:40:51 GMT",2705,142695.7,2015-12-15 00:00:00
