date,datetime,total_donors,total_amount,start
2015-12-29,"Tue, 29 Dec 2015 05:00:39 GMT",1203,148731.5,2015-12-26 00:00:00
2015-12-29,"Tue, 29 Dec 2015 05:01:40 GMT",1204,148741.5,2015-12-26 00:00:00
2015-12-29,"Tue, 29 Dec 2015 05:02:41 GMT",1207,148902.75,2015-12-26 00:00:00
2015-12-29,"Tue, 29 Dec 2015 05:03:42 GMT",1208,149002.75,2015-12-26 00:00:00
2015-12-29,"Tue, 29 Dec 2015 05:04:42 GMT",1209,149012.75,2015-12-26 00:00:00
2015-12-29,"Tue, 29 Dec 2015 05:05:43 GMT",1209,149012.75,2015-12-26 00:00:00
2015-12-29,"Tue, 29 Dec 2015 05:06:44 GMT",1210,149032.91,2015-12-26 00:00:00
